"region","crop","2009","2010","2011","2012","2013"
"21 Gävleborg county","spring barley",2840,2210,2530,2460,3530
"21 Gävleborg county","oats",3120,2130,2770,2470,3220
"21 Gävleborg county","Winter triticale",..,..,..,..,..
"21 Gävleborg county","spring triticale",..,..,..,..,..
"21 Gävleborg county","mixed grain",..,..,..,..,..
"21 Gävleborg county","peas",..,..,..,..,..
"21 Gävleborg county","field beans",..,..,..,..,..
"21 Gävleborg county","corn",..,..,..,..,..
"21 Gävleborg county","table potatoes",14230,17130,16790,13980,18940
"21 Gävleborg county","potatoes for processing of starch",..,..,..,..,..
"21 Gävleborg county","sugar beets",..,..,..,..,..
"21 Gävleborg county","winter rape",..,..,..,..,..
"21 Gävleborg county","spring rape",..,..,..,..,..
"21 Gävleborg county","winter turnip rape",..,..,..,..,..
"21 Gävleborg county","spring turnip rape",..,..,..,..,..
"21 Gävleborg county","oil flax",..,..,..,..,..
"21 Gävleborg county","temporary grasses",4330,..,3300,3890,4140
"21 Gävleborg county","temporary grasses. First cut",2940,2350,2450,3040,3040
"21 Gävleborg county","temporary grasses. Re-growth",1390,..,..,..,1110
"22 Västernorrland county","winter wheat",..,..,..,..,..
"22 Västernorrland county","spring wheat",..,..,..,..,..
"22 Västernorrland county","rye",..,..,..,..,..
"22 Västernorrland county","winter barley",..,..,..,..,..
"22 Västernorrland county","spring barley",2310,2360,1860,1510,2770
"22 Västernorrland county","oats",..,..,..,..,..
"22 Västernorrland county","Winter triticale",..,..,..,..,..
"22 Västernorrland county","spring triticale",..,..,..,..,..
"22 Västernorrland county","mixed grain",..,..,..,..,..
"22 Västernorrland county","peas",..,..,..,..,..
"22 Västernorrland county","field beans",..,..,..,..,..
"22 Västernorrland county","corn",..,..,..,..,..
"22 Västernorrland county","table potatoes",..,20230,18330,..,..
"22 Västernorrland county","potatoes for processing of starch",..,..,..,..,..
"22 Västernorrland county","sugar beets",..,..,..,..,..
"22 Västernorrland county","winter rape",..,..,..,..,..
"22 Västernorrland county","spring rape",..,..,..,..,..
"22 Västernorrland county","winter turnip rape",..,..,..,..,..
"22 Västernorrland county","spring turnip rape",..,..,..,..,..
"22 Västernorrland county","oil flax",..,..,..,..,..
"22 Västernorrland county","temporary grasses",..,3760,3500,3770,3660
"22 Västernorrland county","temporary grasses. First cut",2560,2740,3030,2760,2880
"22 Västernorrland county","temporary grasses. Re-growth",..,1020,..,1000,780
"23 Jämtland county","winter wheat",..,..,..,..,..
"23 Jämtland county","spring wheat",..,..,..,..,..
"23 Jämtland county","rye",..,..,..,..,..
"23 Jämtland county","winter barley",..,..,..,..,..
"23 Jämtland county","spring barley",2950,2250,2800,1860,2930
"23 Jämtland county","oats",..,..,..,..,..
"23 Jämtland county","Winter triticale",..,..,..,..,..
"23 Jämtland county","spring triticale",..,..,..,..,..
"23 Jämtland county","mixed grain",..,..,..,..,..
"23 Jämtland county","peas",..,..,..,..,..
"23 Jämtland county","field beans",..,..,..,..,..
"23 Jämtland county","corn",..,..,..,..,..
"23 Jämtland county","table potatoes",..,..,..,..,..
"23 Jämtland county","potatoes for processing of starch",..,..,..,..,..
"23 Jämtland county","sugar beets",..,..,..,..,..
"23 Jämtland county","winter rape",..,..,..,..,..
"23 Jämtland county","spring rape",..,..,..,..,..
"23 Jämtland county","winter turnip rape",..,..,..,..,..
"23 Jämtland county","spring turnip rape",..,..,..,..,..
"23 Jämtland county","oil flax",..,..,..,..,..
"23 Jämtland county","temporary grasses",..,..,3890,3660,..
"23 Jämtland county","temporary grasses. First cut",..,..,2710,2700,..
"23 Jämtland county","temporary grasses. Re-growth",..,..,..,..,..
"24 Västerbotten county","winter wheat",..,..,..,..,..
"24 Västerbotten county","spring wheat",..,..,..,..,..
"24 Västerbotten county","rye",..,..,..,..,..
"24 Västerbotten county","winter barley",..,..,..,..,..
"24 Västerbotten county","spring barley",2680,2410,2730,1950,3180
"24 Västerbotten county","oats",..,1570,..,..,..
"24 Västerbotten county","Winter triticale",..,..,..,..,..
"24 Västerbotten county","spring triticale",..,..,..,..,..
"24 Västerbotten county","mixed grain",..,..,..,..,..
"24 Västerbotten county","peas",..,..,..,..,..
"24 Västerbotten county","field beans",..,..,..,..,..
"24 Västerbotten county","corn",..,..,..,..,..
"24 Västerbotten county","table potatoes",17220,16680,18700,15240,20880
"24 Västerbotten county","potatoes for processing of starch",..,..,..,..,..
"24 Västerbotten county","sugar beets",..,..,..,..,..
"24 Västerbotten county","winter rape",..,..,..,..,..
"24 Västerbotten county","spring rape",..,..,..,..,..
"24 Västerbotten county","winter turnip rape",..,..,..,..,..
"24 Västerbotten county","spring turnip rape",..,..,..,..,..
"24 Västerbotten county","oil flax",..,..,..,..,..
"24 Västerbotten county","temporary grasses",3720,3440,3450,3420,3110
"24 Västerbotten county","temporary grasses. First cut",2400,2180,2390,2580,2310
"24 Västerbotten county","temporary grasses. Re-growth",1320,1260,1060,840,810
"25 Norrbotten county","winter wheat",..,..,..,..,..
"25 Norrbotten county","spring wheat",..,..,..,..,..
"25 Norrbotten county","rye",..,..,..,..,..
"25 Norrbotten county","winter barley",..,..,..,..,..
"25 Norrbotten county","spring barley",2490,2360,1070,1470,2910
"25 Norrbotten county","oats",..,..,..,..,2960
"25 Norrbotten county","Winter triticale",..,..,..,..,..
"25 Norrbotten county","spring triticale",..,..,..,..,..
"25 Norrbotten county","mixed grain",..,..,..,..,..
"25 Norrbotten county","peas",..,..,..,..,..
"25 Norrbotten county","field beans",..,..,..,..,..
"25 Norrbotten county","corn",..,..,..,..,..
"25 Norrbotten county","table potatoes",17320,16770,13120,13260,19960
"25 Norrbotten county","potatoes for processing of starch",..,..,..,..,..
"25 Norrbotten county","sugar beets",..,..,..,..,..
"25 Norrbotten county","winter rape",..,..,..,..,..
"25 Norrbotten county","spring rape",..,..,..,..,..
"25 Norrbotten county","winter turnip rape",..,..,..,..,..
"25 Norrbotten county","spring turnip rape",..,..,..,..,..
"25 Norrbotten county","oil flax",..,..,..,..,..
"25 Norrbotten county","temporary grasses",..,..,..,3270,..
"25 Norrbotten county","temporary grasses. First cut",..,..,..,2530,..
"25 Norrbotten county","temporary grasses. Re-growth",..,..,..,..,..
