"region","crop","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"04 Södermanland county","Winter triticale",3.5,4.0,7.0,2.4,6.2,2.1,2.5,4.3,4.5,3.1,3.2,2.0,3.2,2.2,4.6
"04 Södermanland county","spring triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","mixed grain",..,12.4,8.1,11.4,..,5.8,..,..,..,..,..,..,..,..,..
"04 Södermanland county","peas",3.5,4.1,6.2,9.0,5.1,3.3,4.6,2.5,2.8,3.9,3.0,3.9,4.4,3.3,5.3
"04 Södermanland county","field beans",..,12.4,4.3,7.3,..,3.2,5.6,4.6,6.1,13.0,..,4.9,..,4.1,..
"04 Södermanland county","corn",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","table potatoes",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","winter rape",3.5,1.4,3.0,2.3,7.4,1.6,1.7,1.1,1.0,2.2,1.5,1.1,0.9,1.7,3.3
"04 Södermanland county","spring rape",2.5,2.5,1.3,1.8,1.8,3.3,..,2.4,..,..,..,..,..,2.3,..
"04 Södermanland county","winter turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","spring turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","oil flax",2.5,2.4,2.2,..,..,4.6,2.8,1.5,..,..,..,..,..,..,..
"04 Södermanland county","temporary grasses",..,..,11.8,8.8,7.0,9.8,9.4,7.9,9.0,8.5,8.3,14.3,23.2,9.6,13.2
"04 Södermanland county","temporary grasses. First cut",8.7,8.5,8.5,9.3,8.1,10.0,6.5,7.6,8.8,6.8,6.3,13.9,20.6,7.9,9.9
"04 Södermanland county","temporary grasses. Re-growth",18.4,22.5,..,19.6,20.5,14.8,25.2,16.7,18.4,12.7,17.6,23.7,..,20.1,16.7
"05 Östergötland county","winter wheat",0.9,1.3,1.2,1.0,1.4,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.1,0.9,1.1
